"Group.1","areasqnm2","areasqkm2","min.depth","min.lat","min.lon","maxdepth","max.lat","max.lon","avgdepth","avglat","avglon","median.depth","median.lat","median.lon","Region","strata","min.lat.deg","min.lon.deg","max.lat.deg","max.lon.deg","median.lat.deg","median.lon.deg","avglat.deg","avglon.deg"
"10S",137.683254880496,472.240346647634,42.0000000000175,41.67,-68.42,79.9200000000036,42.14,-67.08,63.3857988165705,41.9264694280079,-67.7926232741617,62.7199999999992,41.91,-67.88,"NORTH","10S","41.40.12","-68.25.12","42.8.24","-67.4.48","41.54.36","-67.52.48","41.55.35","-67.47.33"
"11S",1335.19856704197,4579.6029058915,11.0000000000094,41.15,-68.44,63.6000000000021,42.03,-67.19,37.0966719110908,41.6219529038907,-67.7600328692053,36.3600000000002,41.54,-67.69,"NORTH","11S","41.8.60","-68.26.24","42.1.48","-67.11.24","41.32.24","-67.41.24","41.37.19","-67.45.36"
"12S",653.801432958035,2242.4761501085,38.199999999998,41.19,-68.1,67.1999999999996,42.09,-66.94,50.9846889223978,41.8294158088961,-67.2825277162831,50.9600000000014,41.865,-67.245,"NORTH","12S","41.11.24","-68.5.60","42.5.24","-66.56.24","41.51.54","-67.14.42","41.49.46","-67.16.57"
"1S",361.7104,1240.6319478016,9.19999999999983,36.5,-75.95,25.3999999999997,37,-75.59,17.2393594875899,36.751809447558,-75.7704163330664,17.3999999999997,36.76,-75.77,"SOUTH","1S","36.30.0","-75.57.0","37.0.0","-75.35.24","36.45.36","-75.46.12","36.45.7","-75.46.13"
"2S",1229.39855600051,4216.71902482036,9,37.55,-75.56,30.6000000000021,39.16,-74.16,17.0684859754456,38.4144026897096,-74.9627437453832,16.4299999999984,38.45,-74.965,"SOUTH","2S","37.32.60","-75.33.36","39.9.36","-74.9.36","38.27.0","-74.57.54","38.24.52","-74.57.46"
"3S",5270,18075.59408,11.1999999999998,37.76,-75.04,53.8000000000027,40.76,-72.36,36.1564765591416,39.2976644479203,-73.854408118941,36.7999999999987,39.28,-73.76,"SOUTH","3S","37.45.36","-75.2.24","40.45.36","-72.21.36","39.16.48","-73.45.36","39.17.52","-73.51.16"
"4S",962,3299.567648,39.5599999999989,36.51,-74.93,71.1199999999978,39.47,-73.13,51.922546596993,38.2051274456315,-74.1863283960319,52.0399999999988,38.3,-74.19,"SOUTH","4S","36.30.36","-74.55.48","39.28.12","-73.7.48","38.17.60","-74.11.24","38.12.18","-74.11.11"
"5S",1546.90603218031,5305.73918739939,9.03999999999891,39.17,-74.6,37,41.06,-71.82,21.6051018306691,40.2692509570408,-73.4248786865602,21.6999999999994,40.38,-73.735,"SOUTH","5S","39.10.12","-74.35.60","41.3.36","-71.49.12","40.22.48","-73.44.6","40.16.9","-73.25.30"
"6S",1380,4733.26752,11.9999999999991,40.57,-70.85,65.9199999999979,42,-69.2,35.3091522228362,40.958320219373,-69.7490531497135,32.3999999999995,40.97,-69.615,"SOUTH","6S","40.34.12","-70.50.60","42.0.0","-69.12.0","40.58.12","-69.36.54","40.57.30","-69.44.57"
"7S",357.9083170762,1227.59116837293,49.4000000000235,41.01,-68.96,79.9600000000063,41.66,-68.33,65.3762376237636,41.2380502665651,-68.6231378522468,63.8000000000002,41.23,-68.63,"NORTH","7S","41.0.36","-68.57.36","41.39.36","-68.19.48","41.13.48","-68.37.48","41.14.17","-68.37.23"
"8S",1642,5631.902368,18.7200000000017,40.65,-68.67,61.040000000001,41.77,-67.35,46.8814971640196,41.17467672904,-68.1887960492873,51.5600000000006,41.21,-68.25,"NORTH","8S","40.38.60","-68.40.12","41.46.12","-67.20.60","41.12.36","-68.15.0","41.10.29","-68.11.20"
"9S",902.245301753441,3094.61476946533,52.4000000000005,40.56,-68.49,80,41.18,-67.01,67.4478243088591,40.8221310819106,-67.8996084263277,67.0599999999995,40.82,-67.89,"NORTH","9S","40.33.36","-68.29.24","41.10.48","-67.0.36","40.49.12","-67.53.24","40.49.20","-67.53.59"
